format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00369,Male,44,173,71,12345,12345,12345,12345,12345,12345,1513662324259
9,564,153428,153436,153447,153458,153468,153482,153491,153501,153511,153519,153527,153535,1513662326056
10,552,171415,171417,171424,171435,171442,171445,171453,171462,171472,171481,171490,171496,1513662326074
10,564,171504,171509,171513,171515,171520,171524,171529,171533,171542,171549,171551,171551,1513662326075
10,576,171552,171555,171557,171558,171567,171568,171572,171571,171578,171574,171577,171582,1513662326075
10,588,171586,171583,171582,171580,171577,171579,171580,171581,171576,171583,171586,171586,1513662326075
5,564,-224814,-225722,-222635,-218705,-217188,-215314,-215676,-220047,-224388,-225318,-224379,-221620,1513662326123
5,576,-218853,-217041,-214835,-216282,-221882,-224718,-224318,-222998,-220142,-217481,-215849,-215723,1513662326124
5,588,-218041,-223668,-226295,-223939,-221034,-218787,-216255,-214660,-216817,-220710,-224865,-225890,1513662326125
5,600,-223504,-220378,-218428,-214463,-213599,-217399,-221607,-223131,-224107,-223264,-219052,-215692,1513662326125
9,576,153539,153545,153553,153552,153555,153561,153567,153569,153572,153577,153580,153585,1513662326137
9,588,153587,153585,153589,153588,153593,153594,153593,153591,153594,153597,153596,153600,1513662326137
9,600,153596,153595,153593,153593,153587,153585,153582,153581,153580,153578,153577,153576,1513662326138
9,612,153572,153570,153573,153571,153573,153569,153570,153572,153564,153563,153563,153564,1513662326138
10,600,171585,171586,171587,171591,171585,171582,171582,171584,171583,171581,171582,171577,1513662326165
10,612,171575,171574,171569,171572,171567,171569,171571,171572,171572,171572,171571,171566,1513662326165
10,624,171568,171571,171572,171576,171574,171575,171573,171577,171575,171579,171584,171583,1513662326165
5,612,-212322,-214642,-220527,-223681,-225302,-223579,-220695,-218314,-214997,-213373,-215662,-221798,1513662326199
5,624,-224175,-222863,-221524,-219620,-216346,-212657,-213584,-218435,-223644,-224240,-222716,-220366,1513662326201
5,636,-218515,-214440,-211639,-215036,-220561,-224048,-224322,-222255,-218676,-215559,-213312,-214232,1513662326205
5,648,-218423,-223656,-224401,-222063,-219298,-219098,-217432,-214748,-215435,-220684,-223965,-224542,1513662326208
9,624,153566,153563,153563,153566,153567,153572,153576,153577,153581,153585,153591,153599,1513662326225
9,636,153600,153609,153614,153619,153623,153624,153628,153628,153633,153641,153641,153650,1513662326225
9,648,153654,153656,153663,153672,153685,153693,153700,153706,153716,153723,153731,153746,1513662326225
9,660,153757,153763,153772,153780,153797,153805,153821,153835,153845,153853,153864,153876,1513662326226
10,636,171591,171592,171600,171598,171599,171599,171603,171606,171605,171612,171618,171620,1513662326258
10,648,171623,171624,171625,171629,171634,171639,171649,171650,171655,171663,171668,171671,1513662326259
10,660,171676,171679,171682,171688,171688,171692,171703,171712,171720,171724,171730,171732,1513662326259
10,672,171742,171748,171755,171757,171765,171770,171777,171782,171792,171798,171806,171812,1513662326261
5,660,-222487,-217942,-216335,-212840,-213250,-218292,-223773,-223650,-222846,-220258,-218518,-215882,1513662326285
5,672,-212714,-215517,-221333,-225414,-223662,-220681,-217103,-215858,-213696,-213339,-216090,-221526,1513662326286
5,684,-225545,-224797,-220180,-216744,-215116,-213053,-214518,-219511,-223316,-222934,-222723,-219769,1513662326286
