format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00872,Female,36,160,66,12345,12345,12345,12345,12345,12345,1512442559186
9,876,151754,151721,151686,151650,151614,151575,151535,151492,151450,151408,151361,151311,1512442561629
9,888,151264,151212,151161,151112,151060,151009,150953,150900,150850,150795,150745,150690,1512442561630
9,900,150641,150589,150538,150487,150436,150388,150343,150296,150250,150205,150165,150123,1512442561631
9,912,150081,150042,150009,149970,149934,149901,149872,149841,149812,149786,149755,149732,1512442561631
10,900,175428,175398,175370,175342,169051,163846,159540,155970,153022,150579,148557,146882,1512442561661
10,912,145500,144352,143400,142612,141955,141408,140947,140566,140249,139985,139772,139594,1512442561661
10,924,139445,139325,139221,139138,139063,139000,138948,138910,138874,138839,138818,138798,1512442561661
5,912,-48246,-47059,-46297,-45542,-46862,-51815,-54225,-52298,-50211,-48552,-47104,-45444,1512442561692
5,924,-46963,-50802,-54883,-54296,-52170,-50969,-49218,-47341,-46606,-48929,-52593,-54520,1512442561692
5,936,-54098,-51940,-49594,-48127,-46465,-47842,-51609,-54683,-54504,-53145,-50556,-48809,1512442561693
5,948,-47369,-47880,-50228,-53426,-55061,-53485,-51916,-50093,-48644,-46950,-47499,-50818,1512442561693
9,924,149708,149689,149672,149652,149630,149617,149604,149584,149577,149566,149558,149549,1512442561726
9,936,149538,149535,149524,149518,149517,149513,149508,149503,149501,149504,149499,149499,1512442561726
9,948,149501,149499,149500,149496,149499,149497,149504,149500,149503,149505,149505,149504,1512442561727
9,960,149509,149506,149514,149512,149513,149518,149521,149524,149525,149529,149528,149530,1512442561727
10,936,138782,138764,138752,138745,138739,138729,138726,138722,138718,138710,138706,138704,1512442561752
10,948,138703,138704,138704,138702,138703,138701,138698,138703,138702,138706,138702,138702,1512442561753
10,960,138700,138706,138708,138709,138710,138709,138714,138713,138715,138718,138720,138723,1512442561753
10,972,138725,138721,138725,138725,138724,138726,138724,138725,138727,138725,138729,138731,1512442561754
5,960,-54127,-54408,-53743,-52673,-50239,-47694,-46557,-49603,-53721,-55500,-54121,-52387,1512442561785
5,972,-50944,-49795,-46826,-47417,-50923,-55485,-55500,-53493,-51647,-49386,-47902,-46949,1512442561786
5,984,-49241,-53342,-55563,-53898,-52426,-50942,-49052,-47145,-48297,-51742,-55045,-53942,1512442561786
